

--------------------------------------- 2022-02-10-13-20-02-375
[notice ] 13:20:04 : Portada 2
[ error ] ofImage: loadImage(): couldn't load image from """"
[ error ] ofxThreadedImageLoader: couldn't load file: ""
[notice ] 13:20:28 : 
[notice ] 13:20:47 : 
[notice ] 13:21:07 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/2.png
[notice ] 13:21:26 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/3.png
[notice ] 13:21:43 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/3.png
[notice ] 13:21:45 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/4.png
[notice ] 13:21:47 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/5.png
[notice ] 13:21:49 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/6.png
[notice ] 13:21:51 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/6.png
[notice ] 13:21:53 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/6.png
[notice ] 13:21:55 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/7.png
[notice ] 13:21:57 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/7.png
[notice ] 13:21:59 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/8.png
[notice ] 13:22:01 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/8.png
[notice ] 13:22:03 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/8.png
[notice ] 13:22:06 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/9.png
[notice ] 13:22:10 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/9.png
[notice ] 13:22:14 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/10.png
[notice ] 13:22:18 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/11.png
[notice ] 13:22:22 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/12.png
[notice ] 13:22:26 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/13.png
[notice ] 13:22:30 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/14.png
[notice ] 13:22:34 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/14.png
[notice ] 13:22:38 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/15.png
[notice ] 13:22:42 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/16.png
[notice ] 13:22:46 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/17.png
[notice ] 13:22:50 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/18.png
[notice ] 13:22:55 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/18.png
[notice ] 13:22:59 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/18.png
[notice ] 13:23:03 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/19.png
[notice ] 13:23:07 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/19.png
[notice ] 13:23:11 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/20.png
[notice ] 13:23:15 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/20.png
[notice ] 13:23:20 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/20.png
[notice ] 13:23:26 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/21.png
[notice ] 13:23:31 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/21.png
[notice ] 13:23:36 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/21.png
[notice ] 13:23:40 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/22.png
[notice ] 13:23:44 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/22.png
[notice ] 13:23:48 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/22.png
[notice ] 13:23:52 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/23.png
[notice ] 13:23:54 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/23.png
[notice ] 13:23:56 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/24.png
[notice ] 13:23:59 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/24.png
[notice ] 13:24:00 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/25.png
[notice ] 13:24:02 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/25.png
[notice ] 13:24:04 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/25.png
[notice ] 13:24:06 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/26.png
[notice ] 13:24:08 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/26.png
[notice ] 13:24:10 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/27.png
[notice ] 13:24:12 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/27.png
[notice ] 13:24:14 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/28.png
[notice ] 13:24:16 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/28.png
[notice ] 13:24:18 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/29.png
[notice ] 13:24:20 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/30.png
[notice ] 13:24:22 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/30.png
[notice ] 13:24:25 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/31.png
[notice ] 13:24:27 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/31.png
[notice ] 13:24:28 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/32.png
[notice ] 13:24:31 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/33.png
[notice ] 13:24:33 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/33.png
[notice ] 13:24:35 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/33.png
[notice ] 13:24:37 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/34.png
[notice ] 13:24:39 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/35.png
[notice ] 13:24:41 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/35.png
[notice ] 13:24:43 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/36.png
[notice ] 13:24:46 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/36.png
[notice ] 13:24:48 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/37.png
[notice ] 13:24:51 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/37.png
[notice ] 13:24:54 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/37.png
[notice ] 13:24:56 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/38.png
[notice ] 13:24:59 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/38.png
[notice ] 13:25:02 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/38.png
[notice ] 13:25:04 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/39.png
[notice ] 13:25:07 : /Users/playmodesstudio/Dropbox/PLAYMODES_STUDIO/2021/FORMS/P5/FORMS_SPECTRUM2/pngs/39.png
