

--------------------------------------- 2022-05-28-15-11-13-962
[ error ] ofAppGLFWWindow: 65544: Cocoa: Failed to find service port for display
[notice ] 15:11:53 : Portada 2
[notice ] 15:12:13 : 
[notice ] 15:12:21 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/2.png
[notice ] 15:12:30 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/3.png
[notice ] 15:12:38 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/4.png
[notice ] 15:12:47 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/5.png
[notice ] 15:12:56 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/6.png
[notice ] 15:13:04 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/7.png
[notice ] 15:13:13 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/8.png
[notice ] 15:13:21 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/9.png
[notice ] 15:13:30 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/10.png
[notice ] 15:13:38 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/11.png
[notice ] 15:13:47 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/12.png
[notice ] 15:13:58 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/13.png
[notice ] 15:14:15 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/13.png
[notice ] 15:14:32 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/15.png
[notice ] 15:14:49 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/16.png
[notice ] 15:15:06 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/17.png
[notice ] 15:15:23 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/17.png
[notice ] 15:15:40 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/19.png
[notice ] 15:15:57 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/19.png
[notice ] 15:16:14 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/21.png
[notice ] 15:16:32 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/22.png
[notice ] 15:16:49 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/23.png
[notice ] 15:17:06 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/24.png
[notice ] 15:17:23 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/25.png
[notice ] 15:17:40 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/26.png
[notice ] 15:17:57 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/27.png
[notice ] 15:18:14 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/28.png
[notice ] 15:18:31 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/29.png
[notice ] 15:18:48 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/30.png
[notice ] 15:19:05 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/31.png
[notice ] 15:19:22 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/32.png
[notice ] 15:19:39 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/33.png
[notice ] 15:19:56 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/34.png
[notice ] 15:20:13 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/35.png
[notice ] 15:20:30 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/35.png
[notice ] 15:20:48 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/37.png
[notice ] 15:21:05 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/38.png
[notice ] 15:21:22 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/39.png
[notice ] 15:21:39 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/40.png
[notice ] 15:21:56 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/41.png
[notice ] 15:22:13 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/42.png
[notice ] 15:22:30 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/43.png
[notice ] 15:22:47 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/44.png
[notice ] 15:23:04 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/44.png
[notice ] 15:23:21 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/44.png
[notice ] 15:23:38 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/2.png
