

--------------------------------------- 2022-05-01-21-33-49-200
[ error ] ofAppGLFWWindow: 65544: Cocoa: Failed to find service port for display
[notice ] 21:34:44 : Portada 2
[notice ] 21:34:53 : 
[notice ] 21:39:29 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/53.png
[notice ] 21:39:35 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/54.png
[notice ] 21:39:40 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/55.png
[notice ] 21:39:45 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/56.png
[notice ] 21:39:50 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/57.png
[notice ] 21:39:55 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/58.png
[notice ] 21:40:01 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/59.png
[notice ] 21:40:06 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/60.png
[notice ] 21:40:11 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/61.png
[notice ] 21:40:16 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/62.png
[notice ] 21:40:21 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/63.png
[notice ] 21:40:27 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/64.png
[notice ] 21:40:32 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/65.png
[notice ] 21:40:36 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/66.png
[notice ] 21:40:40 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/67.png
[notice ] 21:40:44 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/68.png
[notice ] 21:40:49 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/69.png
[notice ] 21:40:53 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/70.png
[notice ] 21:40:57 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/71.png
[notice ] 21:41:01 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/72.png
[notice ] 21:41:06 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/73.png
[notice ] 21:41:10 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/74.png
[notice ] 21:41:14 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/75.png
[notice ] 21:41:19 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/76.png
[notice ] 21:41:23 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/77.png
[notice ] 21:41:27 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/78.png
[notice ] 21:41:31 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/79.png
[notice ] 21:41:36 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/80.png
[notice ] 21:41:40 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/81.png
[notice ] 21:41:44 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/82.png
[notice ] 21:41:48 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/83.png
[notice ] 21:41:53 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/84.png
[notice ] 21:41:57 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/85.png
[notice ] 21:42:01 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/86.png
[notice ] 21:42:05 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/87.png
[notice ] 21:42:10 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/88.png
[notice ] 21:42:14 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/89.png
[notice ] 21:42:18 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/90.png
[notice ] 21:42:23 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/91.png
[notice ] 21:42:27 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/92.png
[notice ] 21:42:31 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/93.png
[notice ] 21:42:35 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/94.png
[notice ] 21:42:40 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/95.png
[notice ] 21:42:44 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/96.png
[notice ] 21:42:48 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/97.png
[notice ] 21:42:52 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/98.png
[notice ] 21:42:57 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/99.png
[notice ] 21:43:21 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/100.png
[notice ] 22:16:13 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/101.png
[notice ] 22:32:25 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/103.png
[notice ] 23:04:33 : /Users/santiagovilanova/Desktop/INDOMITES/FORMS_SPECTRUM4/pngs/104.png
